Date,mealtype,location,event type,discount
12/19/2018,lunch,"Hempstead, TPK levittown",street,No
12/13/2018,lunch,"Hempstead, TPK levittown",street,No
12/9/2018,lunch,"Hempstead, TPK levittown",street,Yes
12/7/2018,lunch&dinner,"Hempstead, TPK levittown",street,Yes
12/1/2018,lunch&dinner,"Hempstead, TPK levittown",street,Yes
11/30/2018,lunch&dinner,"Hempstead, TPK levittown",street,No
11/29/2018,lunch,"Hempstead, TPK levittown",street,No
11/28/2018,lunch,HauppagueIndustrialPark,street,No
11/20/2018,lunch,"Hempstead, TPK levittown",street,No
11/18/2018,lunch,"Hempstead, TPK levittown",street,No
11/17/2018,lunch,TrinityRegionalCraftFair,Event,No
11/16/2018,dinner,Foodtruckfriday,Event,Yes
11/15/2018,lunch,"Hempstead, TPK levittown",street,No
11/14/2018,lunch,"Hempstead, TPK levittown",street,No
11/13/2018,dinner,"Hempstead, TPK levittown",street,No
11/8/2018,lunch,615MerrickAVe,street,No
11/7/2018,lunch,"Hempstead, TPK levittown",street,Yes
11/6/2018,lunch,"Hempstead, TPK levittown",street,No
11/5/2018,lunch,"Hempstead, TPK levittown",street,No
11/4/2018,lunch,OldBethpageVillage,Event,Yes
11/3/2018,lunch&dinner,OldBethpageVillage,Event,No
11/2/2018,dinner,Foodtruckfriday,Event,Yes
10/31/2018,lunch,"Hempstead, TPK levittown",street,No
10/28/2018,lunch,"Hempstead, TPK levittown",street,No
10/26/2018,lunch&dinner,Foodtruckfriday,Event,Yes
10/24/2018,lunch,HauppagueIndustrialPark,street,No
10/23/2018,lunch,HauppagueIndustrialPark,street,No
10/20/2018,lunch&dinner,LongIslandBeerFestival,Event,Yes
10/19/2018,dinner,Foodtruckfriday,Event,No
10/16/2018,lunch,Brooklyn,Event,No
10/13/2018,lunch,FarmingdalePublicLibrary,Event,Yes
10/12/2018,dinner,Foodtruckfriday,Event,Yes
10/10/2018,lunch,HauppagueIndustrialPark,street,No
10/7/2018,lunch,"Hempstead, TPK levittown",street,Yes
10/5/2018,dinner,Foodtruckfriday,Event,Yes
10/3/2018,lunch&dinner,University,Event,No
10/2/2018,lunch&dinner,University,Event,No
9/30/2018,lunch,CarShowMerrickTrainStation,Event,Yes
9/28/2018,dinner,Foodtruckfriday,Event,Yes
9/27/2018,lunch,HauppagueIndustrialPark,street,No
9/26/2018,lunch&dinner,"Hempstead, TPK levittown",street,Yes
9/25/2018,lunch,"Hempstead, TPK levittown",street,No
9/24/2018,lunch&dinner,Farmingdale,Event,No
9/23/2018,lunch&dinner,KiwanisStreetFair,Event,Yes
9/21/2018,lunch&dinner,Foodtruckfriday,Event,Yes
9/20/2018,lunch&dinner,Setauket,Event,No
9/19/2018,lunch&dinner,"Hempstead, TPK levittown",street,No
9/18/2018,lunch,Mall,street,Yes
9/17/2018,lunch,"Hempstead, TPK levittown",street,No
9/16/2018,lunch&dinner,PatchogueFamilyFunFair,Event,No
9/14/2018,lunch&dinner,Foodtruckfriday,street,Yes
9/13/2018,lunch&dinner,"Hempstead, TPK levittown",street,Yes
9/12/2018,lunch&dinner,HauppagueIndustrialPark,street,No
9/11/2018,lunch&dinner,"Hempstead, TPK levittown",street,Yes
9/7/2018,lunch&dinner,Foodtruckfriday,Event,Yes
9/6/2018,lunch,HauppagueIndustrialPark,street,No
9/5/2018,lunch,HauppagueIndustrialPark,street,No
9/4/2018,lunch&dinner,"Hempstead, TPK levittown",street,No
8/31/2018,lunch&dinner,Foodtruckfriday,Event,Yes
8/29/2018,lunch,Mall,street,Yes
8/28/2018,lunch,HauppagueIndustrialPark,street,No
8/27/2018,lunch,HauppagueIndustrialPark,street,Yes
8/25/2018,lunch,PrivateEvent,Event,No
8/23/2018,dinner,SummerConcert,Event,Yes
8/22/2018,lunch&dinner,Mall,street,No
8/21/2018,lunch&dinner,NewbridgeRD,street,No
8/20/2018,lunch,HauppagueIndustrialPark,street,No
8/17/2018,lunch&dinner,Foodtruckfriday,Event,Yes
8/16/2018,lunch&dinner,"Hempstead, TPK levittown",street,No
8/15/2018,lunch,"Hempstead, TPK levittown",street,No
8/14/2018,lunch&dinner,"Hempstead, TPK levittown",street,No
8/13/2018,lunch&dinner,"Hempstead, TPK levittown",street,Yes
8/7/2018,lunch&dinner,HauppagueIndustrialPark,street,Yes
8/6/2018,lunch&dinner,HauppagueIndustrialPark,street,No
8/4/2018,lunch&dinner,HauppagueIndustrialPark,street,No
8/3/2018,dinner,"Hempstead, TPK levittown",street,No
